,comments
257,"inilah BUKTI SEJATI kecintaan Jokowi pada negara. Ia mengorbankan keluarga (karir politik Gibran di PDI-P akan hancur) demi negara. Pasangan Prabowo-Gibran = Capres tllu tua dan ambisius, cawapres tllu muda dan kurang pengalaman. Rakyat Indonesia yg pinter takkan memilih pasangan spt ini. Dan pilihan yg terbaik adalah Ganjar-Mahfud dibandingkan  dibandingkan Anies-Imin."
258,Mahkamah Keluarga
259,Drama oh drama 👏👏
260,fans berat naruto wkwk
261,gua golput aja dah biar dipindahin warga negara wkwk
262,Hantu meing  emang  gitu ..serba  bodo amet😂😂😂😂 ga usah seius amet  doakn bangsa kita dlm kontrol YMK YNG MH KUASA  ALLAH BAOA OENCIPTA LANGIT & BUMI & ISINYA🇮🇩🇮🇩🇮🇩🇮🇩
263,"Pasangannya jadi ngawur, padahal tadinya all in prabowo"
264,"coba deh lihat kejadian dulu pilpres pak jokowi vs pak prabowo, pak prabowo kalah eh ditarik sama pak jokowi jadi mentri lantaran merasa gak enakan ... yg gu takutin besok kdepannya hal nya sama 😂😂😂😂 yang jadi pak ganjar & pak mahmud tar ditarik lagi pak prabowo jadi mentri lantaran gak enakan😂😂😂"
265,Dlm sgi apapun penghianat jangan di dukung
266,Dlm hal kecil dia udah berhianat
267,Calon pemimpin itu amanah .bukan penhianat
268,Ini org bukan maen isi otak nya .serdadu
269,"Isi perutku mau keluar..,"
270,Cawapres eyang wowo cacat hukum.
271,terus maju mas Gibran👏
272,😂😂😂😂
273,Bocil 😂
274,😂😂 rasengan 🌀🌀🌀🌀🌀
275,Enteng amat ngomongnya serasa ga ada yang salah
276,Hmmmmmmm
277,"Gibran sebnarnya kecil..tpi akhirnya jadi gede, karna dibicarakan terus..org yg semula ng tahu jdi pengen tahu...akhirnya menang😂"
278,"Hanya demi bisa berkuasa, lalu ""mencampakkan"" keluarga yang sudah mendidiknya dari NOL. Saya pendukung pak @jokowi sejak mulai pilkada DKI Jakarta tapi dengan kejadian ini masih perlu mempertimbangkan dukungan untuk keluarga Jokowi 🙌"
279,❤️❤️
280,Terimakasih bapak terimakasih paman
281,"Prabowo memang benar-benar orang yang tulus, dia tidak ada niatan untuk menang di pilpres, dengan sengaja selalu memilih wakil yang salah."
282,Amin
283,Rai Gedhek
284,Ya tentu saja gak masalah dianggap PENGKHIANAT….lha memang aslinya begitu kan….jadi kenapa jadi masalah? 🤘
285,SIFAT ASLI MAKIN TIDAK BISA DITUTUPI!! Tengil dan tidak perduli etika! Selama ada pemujanya dia gembira dan merasa diatas angin!!
286,Karepmu...
287,Jangan pgl aku anak kecil paman😂😂😂
