slang,formal
gayannxa,gayanya
kereeeen,keren
uda,sudah
ngekeh,kekeh
bg,bang
xlian,kalian
b3,bertiga
bnget,banget
lg,lagi
ihhh,ih
nyebelin,menyebalkan
bnget,banget
lcu,lucu
pait,pahit
pait,pahit
pait,pahit
koplakkk,koplak
kerass,keras
yachhh,ya
gokil,gila
bgt,banget
kmu,kamu
yg,yang
ngelihat,melihat
pngn,pengin
ngelawak,melawak
iiihhhhh,ih
gokil,gila
nyolotinnnn,menyolot
beratttttttt,berat
lucuu,lucu
cantiikkkk,cantik
kaa,kak
hijaabbb,hijab
sekalii,sekali
smnagatin,menyemangati
kk,kakak
pakek,pakai
kanapa,kenapa
ngk,tidak
pakek,pakai
cans,cantik
pke,pakai
aja,saja
subahanallah,subhanallah
banhet,banget
ahhhh,ah
bgttttttt,banget
mcm,macam
blng,bilang
jgn,jangan
mngasi,mengasih
kmbang,kembang
pg,pagi
tp,tapi
pulak,pula
nie,ini
nda,indak
pla,pula
kh,kah
tpi,tapi
cm,cuma
kw,kau
mcm,macam
kw,kau
pla,pula
yg,yang
blakon,berlakon
sy,saya
nmpk,nampak
sma,sama
lucuu,lucu
lcu,lucu
bngtzt,banget
lucukkkkk,lucu
inget,ingat
sbelah,sebelah
baek,baik
ciusss,serius
palinf,paling
fav,favorit
ndak,indak
maak,mak
ngakaaaakkk,mengakak
yank,sayang
bangett,banget
gokill,gila
kocakkkkkk,kocak
ngekek,mengekek
jgn,jangan
skrg,sekarang
udah,sudah
gak,tidak
capee,cape
pegangin,memegang
nyender,menyandar
bener,benar
manjain,memanjakan
bgt,banget
peleotin,meleot
bng,bang
ko,kok
gda,tidak ada
yahh,ya
termurahhhh,termurah
pengen,pengin
nyatakan,menyatakan
graaatiiiis,gratis
nyatakan,menyatakan
meriahh,meriah
cantikkkm,cantik
bangett,banget
parahh,parah
yuuk,yuk
mantabs,mantab
bingits,banget
yuppss,ya
nyindir,menyindir
bgt,banget
onoh,sono
bnyk,banyak
anakny,anaknya
staf2nya,staf-stafnya
gara2,gara-gara
ajaa,saja
ngilangin,menghilangkan
begete,banget
nyindir,menyindir
bgt,banget
aduhh,aduh
yg,yang
manteppp,mantap
hati2,hati-hati
jangan2,jangan-jangan
anakny,anaknya
kata2nya,kata-katanya
ynk,sayang
"nangis""",menangis-nangis
"hati""",hati-hati
"jangan""",jangan-jangan
emank,memang
klo,kalo
jagain,menjaga
dgn,dengan
cr,cara
emank,memang
diemin,diamkan
cm,cuma
aja,saja
trs,terus
uda,sudah
hancurin,menghancurkan
ga,tidak
ckp,cukup
